city Name,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Lng,Latitude,Date
Hobart,68.97,49,40,13.87,147.33,-42.88,3/4/2020
Monduli,64.4,100,75,7.16,36.45,-3.3,3/4/2020
Harper,77.54,93,38,3.56,-7.72,4.38,3/4/2020
Sundsvall,30.74,92,90,8.05,17.31,62.39,3/4/2020
Hay River,-7.6,83,75,3.36,-115.8,60.82,3/4/2020
Souris,8.6,84,40,5.82,-100.26,49.62,3/4/2020
Sørland,34.57,65,65,19.66,12.69,67.67,3/4/2020
‘Āhuimanu,74.77,83,75,8.05,-157.84,21.44,3/4/2020
Kaitangata,52.9,65,2,17.29,169.85,-46.28,3/4/2020
Río Gallegos,53.6,87,69,33.33,-69.22,-51.62,3/4/2020
Hearst,26.46,98,100,3.56,-83.67,49.68,3/4/2020
Thompson,14,78,90,2.26,-97.86,55.74,3/4/2020
Hong Kong,71.28,73,40,6.93,114.16,22.29,3/4/2020
Cabo San Lucas,60.15,67,5,8.72,-109.91,22.89,3/4/2020
Olinda,84.2,74,40,5.82,-34.86,-8.01,3/4/2020
Dubbo,80.6,61,100,17.22,148.62,-32.25,3/4/2020
Whyalla,77,33,24,13.87,137.58,-33.03,3/4/2020
Danville,51.55,71,1,10.29,-79.39,36.59,3/4/2020
Vila Franca do Campo,64.4,93,75,19.46,-25.43,37.72,3/4/2020
Nemuro,30.2,80,75,8.05,145.57,43.32,3/4/2020
Constitución,55.27,72,1,3.24,-72.42,-35.33,3/4/2020
Vardø,19.4,73,3,10.29,31.11,70.37,3/4/2020
Bredasdorp,60.17,93,0,3.36,20.04,-34.53,3/4/2020
Muaná,75.2,93,90,4.27,-49.22,-1.53,3/4/2020
Puerto Ayacucho,73.76,75,0,3.02,-67.62,5.66,3/4/2020
Torbay,35.1,100,90,18.34,-52.73,47.67,3/4/2020
Marquette,30.47,74,90,6.93,-87.63,46.53,3/4/2020
Ola,16.77,94,87,3.69,151.28,59.58,3/4/2020
La Palma,59.16,55,1,3.22,-118.05,33.85,3/4/2020
Te Anau,53.29,53,0,7.25,167.72,-45.42,3/4/2020
Port-Cartier,21.54,92,75,5.82,-66.87,50.03,3/4/2020
Tautira,82.22,78,20,5.82,-149.15,-17.73,3/4/2020
Mount Gambier,71.6,56,76,11.41,140.77,-37.83,3/4/2020
Port Hedland,96.8,19,0,13.87,118.57,-20.32,3/4/2020
Lubao,85.8,62,75,18.34,120.55,14.92,3/4/2020
Shenjiamen,48.87,75,100,20.83,122.3,29.96,3/4/2020
Kumul,51.01,21,27,3.6,93.45,42.8,3/4/2020
Ilebo,72.07,85,90,0.85,20.58,-4.32,3/4/2020
Severo-Kuril'sk,25.14,86,99,11.3,156.12,50.68,3/4/2020
Kayasula,50.65,52,66,3.94,45,44.33,3/4/2020
Salinas,52.83,71,1,1.32,-121.66,36.68,3/4/2020
Bhuj,79.03,46,0,8.32,69.67,23.27,3/4/2020
Saucillo,46.76,45,23,15.21,-105.28,28.02,3/4/2020
Graciano Sánchez,67.1,29,100,6.62,-99.28,23.92,3/4/2020
Gizo Government Station,84.07,73,61,6.42,156.84,-8.1,3/4/2020
Paciran,86.72,76,80,7.2,112.38,-6.88,3/4/2020
Dillon,60.39,100,1,4.7,-79.37,34.42,3/4/2020
Narsaq,1.4,45,0,4.7,-46.05,60.92,3/4/2020
Yilan,61.86,77,75,11.41,121.75,24.76,3/4/2020
Mahibadhoo,82.78,73,57,12.39,72.97,3.78,3/4/2020
East London,69.8,88,0,8.05,27.91,-33.02,3/4/2020
Norman Wells,-16.6,68,75,3.36,-126.83,65.28,3/4/2020
Ojinaga,48.33,81,90,10.29,-104.42,29.57,3/4/2020
Kahului,71.4,73,40,9.17,-156.47,20.89,3/4/2020
Jamestown,37.02,69,90,17.22,-79.24,42.1,3/4/2020
Ninghai,50,71,40,6.71,121.42,29.29,3/4/2020
Malanje,65.84,95,97,1.77,16.34,-9.54,3/4/2020
Vanimo,85.37,74,100,14.38,141.3,-2.67,3/4/2020
Aban,21.47,86,100,2.95,96.06,56.67,3/4/2020
Port Lincoln,66.58,65,24,12.48,135.87,-34.73,3/4/2020
Ust-Maya,6.21,90,100,4.61,134.53,60.42,3/4/2020
Mahajanga,86,74,20,5.82,46.32,-15.72,3/4/2020
Lüderitz,66.2,88,0,2.84,15.16,-26.65,3/4/2020
Jutaí,74.14,96,96,1.63,-68.9,-5.18,3/4/2020
Tura,88.16,26,13,5.08,90.22,25.52,3/4/2020
Ekibastuz,23.47,91,85,15.28,75.37,51.67,3/4/2020
San Miguel de Tucumán,73.4,78,0,3.36,-65.22,-26.82,3/4/2020
Lebu,51.76,92,0,5.08,-73.65,-37.62,3/4/2020
Petropavlovsk-Kamchatskiy,30.2,54,90,4.47,158.65,53.05,3/4/2020
Lata,56.08,92,97,1.01,-8.33,40.16,3/4/2020
Samarai,84.76,83,74,2.44,150.67,-10.62,3/4/2020
Port Hardy,39.2,86,75,5.82,-127.42,50.7,3/4/2020
Rumoi,33.67,76,91,9.06,141.64,43.93,3/4/2020
Concepción de Buenos Aires,60.8,55,20,5.82,-103.27,19.97,3/4/2020
San Patricio,73.62,78,5,7.7,-104.7,19.22,3/4/2020
Visby,41.31,93,90,9.17,18.3,57.64,3/4/2020
Walvis Bay,68.4,77,90,4.7,14.51,-22.96,3/4/2020
Cherskiy,4.64,80,0,13.09,161.3,68.75,3/4/2020
Mmabatho,60.8,87,0,6.93,25.63,-25.85,3/4/2020
Adrar,68.95,9,0,9.82,-10.07,20.5,3/4/2020
Corn Island,80.02,74,94,16.42,-83.04,12.17,3/4/2020
Ambon City,91.4,55,40,8.05,128.18,-3.7,3/4/2020
Kirovsk,45.14,78,91,13.27,38.64,48.64,3/4/2020
Hamilton,42.22,60,1,4.59,-84.53,39.18,3/4/2020
Ribeira Grande,56.25,75,96,25.34,-28.7,38.52,3/4/2020
Saint-Philippe,82.04,88,75,10.29,55.77,-21.36,3/4/2020
Yellowknife,-1.84,77,90,3.36,-114.35,62.46,3/4/2020
Nador,56.44,67,0,19.46,-2.93,35.17,3/4/2020
Cap Malheureux,84.09,79,40,1.12,57.61,-19.98,3/4/2020
Port Pirie,77,33,57,13.87,138.02,-33.18,3/4/2020
Gijón,57.34,67,75,11.41,-5.66,43.54,3/4/2020
Chicama,71.6,88,75,9.17,-79.15,-7.84,3/4/2020
Alice Springs,73.4,78,90,14.99,133.88,-23.7,3/4/2020
Yermish',35.28,99,100,2.06,42.27,54.77,3/4/2020
Sitka,34.84,64,75,12.75,-135.33,57.05,3/4/2020
Papayal,72.46,91,100,1.81,-80.74,-4.08,3/4/2020
Longyearbyen,5,84,90,10.29,15.64,78.22,3/4/2020
Meulaboh,84.09,74,59,5.1,96.13,4.14,3/4/2020
Rawson,64.47,86,54,14.25,-65.1,-43.3,3/4/2020
Tocopilla,57.76,39,0,2.35,-70.2,-22.09,3/4/2020
Mocuba,76.06,80,31,5.26,36.99,-16.84,3/4/2020
Abu Kamal,58.42,56,0,0.69,40.92,34.45,3/4/2020
Magadan,15.28,93,99,6.31,150.8,59.57,3/4/2020
Basco,76.6,80,70,12.82,121.97,20.45,3/4/2020
Kingaroy,83.1,45,40,11.41,151.83,-26.53,3/4/2020
Koslan,15.91,91,45,6.96,48.9,63.46,3/4/2020
Carutapera,81.1,80,100,15.77,-46.02,-1.2,3/4/2020
Yangi Marg`ilon,50,76,75,2.24,71.72,40.43,3/4/2020
Russell,59.61,93,90,1.39,-85.2,32.35,3/4/2020
Yumen,48.54,17,0,5.48,97.2,40.28,3/4/2020
Oranjemund,69.94,67,0,2.51,16.43,-28.55,3/4/2020
Sangar,2.57,84,99,14.99,127.47,63.92,3/4/2020
Bata,75.6,96,100,2.51,9.77,1.86,3/4/2020
Xiaoweizhai,49.55,74,88,7.7,107.51,26.19,3/4/2020
Pativilca,72.41,89,100,8.46,-77.78,-10.7,3/4/2020
Wanaka,48.15,50,0,4.99,169.15,-44.7,3/4/2020
Kiryat Gat,54.64,87,14,5.82,34.76,31.61,3/4/2020
Port Elizabeth,68,94,0,8.05,25.57,-33.92,3/4/2020
Praia,73.4,56,0,16.11,-23.51,14.92,3/4/2020
Ilulissat,-16.6,46,0,2.24,-51.1,69.22,3/4/2020
Chapada dos Guimarães,75.2,78,0,2.24,-55.75,-15.46,3/4/2020
Kavieng,83.17,76,100,21.03,150.8,-2.57,3/4/2020
Katangli,20.3,92,98,5.5,143.23,51.71,3/4/2020
Souillac,84.13,79,40,1.12,57.52,-20.52,3/4/2020
Abirāmam,89.6,49,20,4.7,78.45,9.47,3/4/2020
Esperance,77,38,65,6.93,121.9,-33.87,3/4/2020
Hammond,36.18,80,1,6.62,-87.5,41.58,3/4/2020
Juneau,33.62,74,75,8.05,-134.42,58.3,3/4/2020
Ust'-Ishim,32.22,94,100,10.85,71.17,57.69,3/4/2020
Nālūt,51.8,30,65,14.99,10.85,30.33,3/4/2020
Bathsheba,78.8,69,40,18.34,-59.52,13.22,3/4/2020
Malibu,57.43,82,1,4.74,-118.81,34.01,3/4/2020
Ahipara,73,96,100,22.95,173.17,-35.17,3/4/2020
Leshukonskoye,14.61,94,25,5.88,45.76,64.9,3/4/2020
Carnarvon,89.6,55,0,11.41,113.63,-24.87,3/4/2020
Blythe,61.59,22,1,3.36,-114.6,33.61,3/4/2020
Alvorada,72.1,95,89,2.13,-49.12,-12.48,3/4/2020
Bukama,70.88,96,96,0.58,25.85,-9.2,3/4/2020
Honningsvåg,27.54,58,1,21.92,25.97,70.98,3/4/2020
Stephenville Crossing,32,97,90,5.82,-58.43,48.5,3/4/2020
Isangel,86,70,75,6.93,169.27,-19.55,3/4/2020
Dikson,-9.29,98,79,11.86,80.55,73.51,3/4/2020
Dunedin,55.99,60,0,8.99,170.5,-45.87,3/4/2020
Camacupa,62.69,83,90,2.75,17.48,-12.02,3/4/2020
Valparaíso,58.23,93,90,3.87,-71.63,-33.04,3/4/2020
Weinan,53.6,37,0,6.71,109.51,34.5,3/4/2020
Puerto Escondido,68.38,74,0,3.76,-97.07,15.85,3/4/2020
Palmerston,90.79,66,75,8.05,130.98,-12.49,3/4/2020
Kidal,68.34,8,0,9.8,1.41,18.44,3/4/2020
Lock Haven,39.97,86,90,9.17,-77.45,41.14,3/4/2020
Bougouni,69.71,15,54,5.28,-7.48,11.42,3/4/2020
Oyama,48.4,93,75,11.41,139.8,36.3,3/4/2020
Ţahţā,52.68,37,0,4.7,31.5,26.77,3/4/2020
Pevek,0.37,77,50,8.63,170.31,69.7,3/4/2020
Ancud,50,100,94,3.36,-73.82,-41.87,3/4/2020
Kyaukse,86,40,20,5.82,96.13,21.6,3/4/2020
Mossamedes,73.92,78,0,14.09,12.15,-15.2,3/4/2020
Nago,69.4,64,90,13.87,127.98,26.59,3/4/2020
Tabu,81.41,73,0,17.07,122.71,9.89,3/4/2020
Labuhan,87.26,72,43,6.53,112.21,-6.88,3/4/2020
Salima,69.8,87,100,9.73,34.46,-13.78,3/4/2020
Zyryanovsk,19.2,88,54,2.91,84.27,49.74,3/4/2020
Hasaki,48.81,100,75,1.12,140.83,35.73,3/4/2020
Saldanha,62.6,88,41,8.05,17.94,-33.01,3/4/2020
Kirakira,82.83,81,100,4.85,161.92,-10.45,3/4/2020
Waddān,56.14,58,61,5.21,16.14,29.16,3/4/2020
Maceió,77,94,40,3.36,-35.74,-9.67,3/4/2020
Beira,71.6,94,75,8.05,34.84,-19.84,3/4/2020
Sagua la Grande,69.8,94,20,5.82,-80.08,22.81,3/4/2020
Buala,85.89,72,100,1.43,159.59,-8.14,3/4/2020
Magán,52.29,87,40,11.41,-3.93,39.97,3/4/2020
Nome,10.22,72,90,18.34,-165.41,64.5,3/4/2020
Moerai,81.1,81,100,6.22,-151.33,-22.43,3/4/2020
Palmer,47.77,100,90,8.05,-72.33,42.16,3/4/2020
Aswān,69.28,24,0,6.08,32.91,24.09,3/4/2020
Strichen,30.11,80,0,4.7,-2.09,57.59,3/4/2020
Simao,73.74,29,0,7.92,100.97,22.79,3/4/2020
Burpengary,83.28,62,75,12.75,152.96,-27.16,3/4/2020
Bubaque,79.99,65,0,9.55,-15.83,11.28,3/4/2020
Yar-Sale,14.18,93,88,13.67,70.83,66.83,3/4/2020
Atar,66.79,9,0,7.07,-13.05,20.52,3/4/2020
Vaitape,82.74,78,66,9.57,-151.75,-16.52,3/4/2020
Gemeente Zwolle,38.91,100,90,6.93,6.09,52.51,3/4/2020
Bairiki Village,86,70,40,8.05,172.98,1.33,3/4/2020
Mirny,15.8,61,100,2.24,113.96,62.54,3/4/2020
Half Moon Bay,55.33,76,20,10.29,-122.43,37.46,3/4/2020
Trat,85.32,66,20,9.17,102.5,12.5,3/4/2020
Homer,9.99,61,90,4.7,-151.55,59.64,3/4/2020
Thinadhoo,83.16,74,37,13.89,72.93,0.53,3/4/2020
Cabra,55.04,93,90,5.82,-4.44,37.47,3/4/2020
Loughrea,39.2,80,97,4.7,-8.57,53.2,3/4/2020
Alta Floresta,71.04,98,98,2.86,-56.09,-9.88,3/4/2020
Deputatsky,1.18,65,0,3.38,139.9,69.3,3/4/2020
Pushkar,81.59,19,6,7.47,74.55,26.5,3/4/2020
Rio Grande,64,91,0,10.65,-52.1,-32.03,3/4/2020
Progreso,80.78,61,5,13.87,-89.67,21.28,3/4/2020
Cayenne,78.8,78,21,5.82,-52.33,4.93,3/4/2020
Wattegama,84.2,79,75,2.24,81.48,6.8,3/4/2020
Vao,79.9,81,64,13.71,167.48,-22.67,3/4/2020
Aquin,74.59,79,22,5.75,-73.4,18.28,3/4/2020
Newport,38.26,80,100,4.7,-3,51.59,3/4/2020
Codrington,61.7,85,23,17.05,141.97,-38.27,3/4/2020
Jalu,59.56,75,50,15.99,21.55,29.03,3/4/2020
Ayan,8.53,92,100,3.47,138.17,56.45,3/4/2020
Tiznit Province,62.69,38,0,3.56,-9.5,29.58,3/4/2020
Nikolayevsk-on-Amur,18.9,83,93,3.29,140.73,53.14,3/4/2020
Grøa,41,48,100,18.34,8.72,62.65,3/4/2020
Attendorn,36.75,86,90,8.05,7.9,51.13,3/4/2020
Jilotepec,64.17,44,0,7.72,-96.93,19.6,3/4/2020
Husavik,23,67,100,23.04,-17.34,66.04,3/4/2020
San Quintín,57.69,76,0,1.5,-115.95,30.48,3/4/2020
Dickinson,69.13,83,90,5.82,-95.05,29.46,3/4/2020
Kuril'sk,29.7,80,88,5.91,147.88,45.23,3/4/2020
Bud,37.47,64,1,3.36,-86.18,39.45,3/4/2020
Kankaanpää,32.52,86,90,12.75,22.42,61.8,3/4/2020
Dukat,0.19,88,18,7.92,155.55,62.55,3/4/2020
Laguna,56.75,58,1,5.82,-121.42,38.42,3/4/2020
Tromsø,25.11,53,7,27.51,18.96,69.65,3/4/2020
Lábrea,71.92,99,97,1.77,-64.8,-7.26,3/4/2020
Forsytheganj,42.19,91,95,8.32,29.73,52.63,3/4/2020
Ostrovnoy,13.71,96,99,9.69,39.51,68.05,3/4/2020
Crotone,46.71,64,94,3.18,17.12,39.09,3/4/2020
Tabuk,85.77,54,2,6.31,121.44,17.42,3/4/2020
Mercedes,71.98,87,0,6.51,-59.43,-34.65,3/4/2020
Province of Mantua,42.03,87,75,2.24,10.78,45.17,3/4/2020
Kapoeta,90.01,34,37,12.03,33.59,4.77,3/4/2020
Guarapari,78.8,94,75,6.93,-40.5,-20.67,3/4/2020
Berlevåg,26.6,68,8,20.8,29.09,70.86,3/4/2020
Coquimbo,60.8,87,90,2.24,-71.34,-29.95,3/4/2020
Samrāla,76.23,44,2,3.62,76.19,30.84,3/4/2020
Mandera,80.87,51,34,5.79,41.87,3.94,3/4/2020
Bodden Town,78.37,80,0,3,-81.25,19.28,3/4/2020
Teacapan,67.57,82,100,1.99,-105.75,22.55,3/4/2020
Saint-Pierre-des-Corps,37.63,100,90,5.82,0.73,47.38,3/4/2020
Pierre,35.55,80,1,11.41,-100.35,44.37,3/4/2020
Copiapó,60.8,82,0,6.93,-70.33,-27.37,3/4/2020
Plyussa,34.68,95,100,8.84,29.37,58.43,3/4/2020
Eureka,47.73,87,75,3.29,-124.16,40.8,3/4/2020
Kloulklubed,80.6,88,90,14.99,134.26,7.04,3/4/2020
Piaçabuçu,80.42,80,87,6.89,-36.43,-10.41,3/4/2020
Santa Maria,60.71,88,0,2.98,-53.81,-29.68,3/4/2020
Iqaluit,6.44,77,90,3.36,-68.51,63.75,3/4/2020
Saint-Augustin,18.99,91,24,7.09,-58.65,51.23,3/4/2020
Los Llanos de Aridane,61.38,82,0,10.29,-17.92,28.66,3/4/2020
Williams Lake,32,74,75,5.82,-122.14,52.14,3/4/2020
Booué,74.01,95,70,1.79,11.94,-0.09,3/4/2020
Klaksvík,37.4,74,8,12.75,-6.59,62.23,3/4/2020
Okhotsk,11.55,85,97,1.97,143.3,59.38,3/4/2020
Acapulco de Juárez,78.8,83,5,4.7,-99.89,16.86,3/4/2020
Santa Cruz de La Palma,61.45,82,0,10.29,-17.76,28.68,3/4/2020
Itarema,75.81,93,100,2.42,-39.92,-2.92,3/4/2020
City of San Pedro,85.1,62,75,12.75,121.02,14.35,3/4/2020
Jackson,44.83,61,1,4.7,-122.83,42.42,3/4/2020
Waupun,33.51,74,1,5.82,-88.73,43.63,3/4/2020
Gemena,76.14,77,38,2.39,19.77,3.25,3/4/2020
Kudahuvadhoo,82.51,73,65,12.24,72.89,2.67,3/4/2020
Qingdao,47.07,39,40,11.18,120.37,36.1,3/4/2020
Westport,48.72,71,90,5.82,-73.36,41.14,3/4/2020
Piranshahr,32.59,73,0,11.63,45.14,36.7,3/4/2020
Sur,74.1,54,0,11.27,59.53,22.57,3/4/2020
Bondo,79.23,62,16,0.92,23.69,3.81,3/4/2020
Inhambane,78.8,61,40,6.93,35.38,-23.86,3/4/2020
Broome,37.89,93,90,12.75,-75.83,42.25,3/4/2020
Virginia Beach,58.62,77,40,13.87,-75.98,36.85,3/4/2020
Zhigansk,1.13,88,100,25.64,123.37,66.77,3/4/2020
Hīt,59.72,50,0,10.85,42.83,33.64,3/4/2020
Totness,77.79,82,53,16.13,-56.32,5.88,3/4/2020
Goulburn,65.03,94,100,3.44,149.72,-34.75,3/4/2020
Buraidah,51.8,53,0,4.7,43.98,26.33,3/4/2020
Bolshoy Lug,26.6,49,98,6.71,104.09,52.08,3/4/2020
Sola,84.02,80,68,13.13,167.55,-13.88,3/4/2020
Kem',13.19,96,11,3.42,34.58,64.96,3/4/2020
Vallenar,55.63,88,0,1.05,-70.76,-28.57,3/4/2020
Bilecik Province,44.6,65,69,9.17,30.17,40,3/4/2020
Taltal,58.93,85,12,4.52,-70.48,-25.4,3/4/2020
Nanortalik,15.24,66,0,13.31,-45.24,60.14,3/4/2020
Poykovskiy,26.6,63,50,15.66,73.33,61.23,3/4/2020
Dromolaxia,56.16,93,53,5.82,33.59,34.88,3/4/2020
Tateyama,52.5,81,75,10.29,139.87,34.98,3/4/2020
Poum,82.22,69,2,5.17,164.02,-20.23,3/4/2020
Cortez,32.23,50,1,7.9,-108.59,37.35,3/4/2020
Kavaratti,86,62,20,4.7,72.64,10.57,3/4/2020
Mehamn,27.19,68,4,20.8,27.85,71.04,3/4/2020
Chumikan,12.51,88,99,4.12,135.31,54.72,3/4/2020
The Valley,76.71,73,20,8.05,-63.06,18.22,3/4/2020
Inyonga,70.11,90,85,2.91,32.07,-6.72,3/4/2020
Mount Isa,82.4,78,75,13.87,139.5,-20.73,3/4/2020
Aragats,35.29,64,0,1.23,44.35,40.49,3/4/2020
São Miguel do Araguaia,71.6,98,61,1.39,-50.16,-13.28,3/4/2020
Huarmey,70.12,83,99,0.85,-78.15,-10.07,3/4/2020
Jilib,87.58,48,100,6.42,42.79,0.49,3/4/2020
Pilot Butte,27.73,92,20,5.82,-104.42,50.47,3/4/2020
Belmonte,77,83,40,4.7,-38.88,-15.86,3/4/2020
Puerto Colombia,78.8,83,67,11.41,-74.95,10.99,3/4/2020
Dwārka,73.94,77,0,9.8,68.97,22.24,3/4/2020
Xining,40.77,20,0,6.38,101.77,36.62,3/4/2020
Sibu,89.35,70,75,2.24,111.82,2.3,3/4/2020
Emerald,82.65,74,90,14.99,148.17,-23.53,3/4/2020
Takoradze,77.38,94,98,2.3,-1.76,4.88,3/4/2020
Avera,61.65,92,90,4.7,-82.53,33.19,3/4/2020
Srandakan,87.49,61,82,10.02,110.25,-7.94,3/4/2020
Bermejo,78.8,41,34,3.36,-68.8,-32.88,3/4/2020
Yerbogachën,16.02,89,50,8.08,108.01,61.28,3/4/2020
Esso,6.46,87,0,1.12,158.7,55.93,3/4/2020
Quatre Cocos,84.11,79,40,1.12,57.76,-20.21,3/4/2020
Gualeguay,69.57,50,0,3.24,-59.31,-33.14,3/4/2020
Pisco,71.35,78,100,9.17,-76.22,-13.7,3/4/2020
Charters Towers,87.33,61,95,12.88,146.27,-20.1,3/4/2020
Dawei,81.79,72,41,13.6,98.2,14.08,3/4/2020
Rocha,61.29,96,0,6.98,-54.33,-34.48,3/4/2020
Calderitas,78.51,80,0,13.2,-88.25,18.55,3/4/2020
Geraldton,95,23,0,16.11,114.6,-28.77,3/4/2020
Gamba,78.39,91,100,3.83,10,-2.65,3/4/2020
